2025-09-02 02:28:10.884 -04:00 [INF] ========================================================================================
2025-09-02 02:28:10.928 -04:00 [INF] Inicia el proceso para Rnc: 131254268
2025-09-02 02:28:10.930 -04:00 [INF] inicializar el browser
2025-09-02 02:28:17.045 -04:00 [INF] Busca los datos del RNC en la BD
2025-09-02 02:28:17.251 -04:00 [INF] Hace login
2025-09-02 02:28:22.468 -04:00 [INF] Espera por el Iframe que indica si hay mensajes por leer
2025-09-02 02:28:37.562 -04:00 [INF] TimeoutException: El iframe no fue encontrado dentro del tiempo esperado. Detalles: Timeout of 15000 ms exceeded
2025-09-02 02:28:37.566 -04:00 [INF] Busca el nombre de la compania (Razon Social) en la pagina
2025-09-02 02:28:38.966 -04:00 [INF] El nombre de la compania es DEVELOPMENT 088 SRL
2025-09-02 02:28:38.967 -04:00 [INF] Determina ultimo periodo declarado.
2025-09-02 02:28:40.518 -04:00 [INF] Id del link del formulario IT1: ctl00_ContentPlaceHolder1_dgResumenDoc_ctl06_HyperLink2, esto es para dar click y buscar el ultimo período reportado.
2025-09-02 02:28:55.071 -04:00 [INF] Delcaracion 606, periodo 201501
2025-09-02 02:29:01.093 -04:00 [INF] Delcaracion 607, periodo 201501
2025-09-02 02:29:04.999 -04:00 [INF] Delcaracion IT1, periodo 201501
2025-09-02 02:29:31.118 -04:00 [INF] Delcaracion 606, periodo 201502
2025-09-02 02:29:36.828 -04:00 [INF] Delcaracion 607, periodo 201502
2025-09-02 02:29:39.844 -04:00 [INF] Delcaracion IT1, periodo 201502
2025-09-02 02:29:59.872 -04:00 [INF] Delcaracion 606, periodo 201503
2025-09-02 02:30:05.452 -04:00 [INF] Delcaracion 607, periodo 201503
2025-09-02 02:30:08.510 -04:00 [INF] Delcaracion IT1, periodo 201503
2025-09-02 02:30:29.298 -04:00 [INF] Delcaracion 606, periodo 201504
2025-09-02 02:30:34.985 -04:00 [INF] Delcaracion 607, periodo 201504
2025-09-02 02:30:38.356 -04:00 [INF] Delcaracion IT1, periodo 201504
2025-09-02 02:30:58.751 -04:00 [INF] Delcaracion 606, periodo 201505
2025-09-02 02:31:04.222 -04:00 [INF] Delcaracion 607, periodo 201505
2025-09-02 02:31:07.467 -04:00 [INF] Delcaracion IT1, periodo 201505
2025-09-02 02:31:27.610 -04:00 [INF] Delcaracion 606, periodo 201506
2025-09-02 02:31:33.201 -04:00 [INF] Delcaracion 607, periodo 201506
2025-09-02 02:31:36.202 -04:00 [INF] Delcaracion IT1, periodo 201506
2025-09-02 02:31:56.639 -04:00 [INF] Delcaracion 606, periodo 201507
2025-09-02 02:32:18.696 -04:00 [INF] Delcaracion 607, periodo 201507
2025-09-02 02:32:21.983 -04:00 [INF] Delcaracion IT1, periodo 201507
2025-09-02 02:32:42.091 -04:00 [INF] Delcaracion 606, periodo 201508
2025-09-02 02:32:47.719 -04:00 [INF] Delcaracion 607, periodo 201508
2025-09-02 02:32:50.760 -04:00 [INF] Delcaracion IT1, periodo 201508
